Mon Aug 15 16:19:28 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
26 60 100 1523 7.58 10000 12 0 0 0 0 0 
27 60 100 1338 7.13 10000 5082 0 0 0 0 0 
28 60 100 1719 7.27 10000 2897 0 0 0 0 0 
29 60 100 1551 7.71 10000 9610 0 0 0 0 0 
30 60 100 2137 9.38 10000 5084 0 0 0 0 0 
31 80 100 2125 12.86 10000 148 0 0 0.77 0 0 
32 80 100 2223 12.6 10000 328 0 0 0.41 0 0 
33 80 100 2328 13.16 10000 10 0 0 0 0 0 
34 80 100 2281 14.09 10000 677 0 0 0.37 0 0 
35 80 100 2106 11.69 10000 5203 0 0 0.71 0 0 
36 80 100 2332 11.84 10000 83 0 0 0 0 0 
37 80 100 2509 13.26 10000 137 0 0 0 0 0 
38 80 100 2481 12.4 10000 1165 0 0 0 0 0 
39 80 100 2528 13.01 10000 5168 0 0 0 0 0 
40 80 100 2191 11.53 10000 4840 0 0 0 0 0 
41 100 100 2423 16.32 10000 9458 0 0 1.12 0 0 
42 100 100 2808 17.34 10000 300 0 0 0 0 0 
43 100 100 2375 15.53 10000 45 0 0 0 0 0 
44 100 100 2570 17.21 10000 7880 0 0 0 0 0 
45 100 100 2746 18.28 10000 6073 0 0 0 0 0 
46 100 100 3150 19.69 10000 394 0 0 0 0 0 
47 100 100 2500 16.55 10000 116 0 0 0 0 0 
48 100 100 2797 16.59 10000 7177 0 0 0 0 0 
49 100 100 2650 16.34 10000 100 0 0 0 0 0 
50 100 100 3170 18.85 10000 779 0 0 0 0 0 

Mon Oct 10 18:41:33 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 1.16 10000 1 0 0 0 0 0 
2 20 100 373 0.97 10000 9035 0 0 9.39 0 0 
3 20 100 636 1.09 10000 631 0 0 0 0 0 
4 20 100 425 1.09 10000 5228 0 0 0 0 0 
5 20 100 484 1.02 10000 38 0 0 0 0 0 
6 20 100 695 1.15 10000 7 0 0 0 0 0 
7 20 100 475 0.96 10000 4 0 0 0 0 0 
8 20 100 437 1.09 10000 129 0 0 0 0 0 
9 20 100 600 1.05 10000 41 0 0 0 0 0 
10 20 100 657 1.09 10000 4 0 0 0 0 0 
11 40 100 749 2.51 10000 7764 0 0 7.13 0 0 
12 40 100 991 2.57 10000 5168 0 0 0 0 0 
13 40 100 1317 2.7 10000 15 0 0 0 0 0 
14 40 100 1122 2.61 10000 389 0 0 0 0 0 
15 40 100 1273 2.59 10000 5301 0 0 0 0 0 
16 40 100 1106 2.65 10000 12 0 0 0 0 0 
17 40 100 980 2.63 10000 304 0 0 0 0 0 
18 40 100 1497 2.94 10000 12 0 0 0 0 0 
19 40 100 912 2.61 10000 5235 0 0 0 0 0 
20 40 100 909 2.65 10000 170 0 0 0 0 0 
21 60 100 1873 5.02 10000 5102 0 0 3.4 0 0 
22 60 100 1551 4.86 10000 3005 0 0 0 0 0 
23 60 100 1667 4.79 10000 206 0 0 0 0 0 
24 60 100 1844 5.05 10000 19 0 0 0 0 0 
25 60 100 1458 4.43 10000 8529 0 0 1.19 0 0 
26 60 100 1509 4.62 10000 1269 0 0 0 0 0 
27 60 100 1337 4.33 10000 50 0 0 0 0 0 
28 60 100 1714 4.53 10000 1162 0 0 0 0 0 
29 60 100 1534 4.78 10000 5102 0 0 0 0 0 
30 60 100 2132 5.41 10000 34 0 0 0 0 0 
31 80 100 2125 7.6 10000 103 0 0 1.21 0 0 
32 80 100 2218 7.53 10000 5078 0 0 1.13 0 0 
33 80 100 2328 7.79 10000 20 0 0 0 0 0 
34 80 100 2280 8.22 10000 267 0 0 0 0 0 
35 80 100 2093 6.87 10000 1381 0 0 0 0 0 
36 80 100 2332 7.36 10000 74 0 0 0 0 0 
37 80 100 2509 7.46 10000 29 0 0 0 0 0 
38 80 100 2476 7.45 10000 5318 0 0 0 0 0 
39 80 100 2504 7.48 10000 3857 0 0 0 0 0 
40 80 100 2165 6.91 10000 9575 0 0 0 0 0 
41 100 100 2377 9.63 10000 465 0 0 1.27 0 0 
42 100 100 2769 10.16 10000 5589 0 0 0.84 0 0 
43 100 100 2328 9.37 10000 1084 0 0 0 0 0 
44 100 100 2515 10.2 10000 1805 0 0 0 0 0 
45 100 100 2692 11.09 10000 6753 0 0 0 0 0 
46 100 100 3137 11.77 10000 58 0 0 0 0 0 
47 100 100 2438 9.83 10000 2933 0 0 0 0 0 
48 100 100 2777 9.97 10000 1011 0 0 0 0 0 
49 100 100 2617 9.85 10000 9789 0 0 0 0 0 
50 100 100 3161 10.95 10000 6673 0 0 0 0 0 

Tue Oct 11 12:53:30 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 0.5 10000 1 0 0 0 0 0 
2 20 100 373 0.56 10000 9035 0 0 16.26 0 0 
3 20 100 632 0.5 10000 18 0 0 0 0 0 
4 20 100 423 0.56 10000 1871 0 0 0 0 0 
5 20 100 473 0.59 10000 341 0 0 0 0 0 
6 20 100 695 0.54 10000 27 0 0 0 0 0 
7 20 100 460 0.54 10000 5032 0 0 0 0 0 
8 20 100 437 0.55 10000 96 0 0 0 0 0 
9 20 100 600 0.5 10000 19 0 0 0 0 0 
10 20 100 657 0.53 10000 17 0 0 0 0 0 
11 40 100 753 1.12 10000 1493 0 0 13.05 0 0 
12 40 100 966 1.09 10000 3531 0 0 6.99 0 0 
13 40 100 1317 1.09 10000 32 0 0 0 0 0 
14 40 100 1115 1.03 10000 4368 0 0 0 0 0 
15 40 100 1242 1.05 10000 5857 0 0 0 0 0 
16 40 100 1106 1.08 10000 25 0 0 0 0 0 
